State,AdminRegion,Count_yr,SpeciesNumber,NumberByPartyHours,Year,ReportingCounts,ReportingObservers
DE,delaware,113,170,0.293,2012,7,65
DE,delaware,114,9,0.0131,2013,4,82
FL,florida,41,6,0.0779,1940,1,2
FL,florida,46,1,0.0116,1945,1,1
FL,florida,47,1,0.0063,1946,1,8
FL,florida,55,7,0.0085,1954,3,16
FL,florida,60,1,0.0006,1959,1,11
FL,florida,62,2,0.0013,1961,1,13
FL,florida,63,1,0.0006,1962,1,12
FL,florida,64,10,0.0055,1963,3,31
FL,florida,66,4,0.0019,1965,3,15
FL,florida,67,6,0.0024,1966,4,56
FL,florida,69,33,0.0134,1968,4,55
FL,florida,70,48,0.0177,1969,4,52
FL,florida,71,2,0.0006,1970,2,39
FL,florida,72,2,0.0007,1971,2,27
FL,florida,73,11,0.0038,1972,4,57
FL,florida,75,20,0.006,1974,2,44
FL,florida,76,13,0.0039,1975,3,39
FL,florida,77,9,0.0027,1976,4,63
FL,florida,78,30,0.0084,1977,7,51
FL,florida,79,14,0.0043,1978,4,60
FL,florida,81,202,0.054,1980,11,54
FL,florida,82,2,0.0005,1981,2,47
FL,florida,83,18,0.0047,1982,7,46
FL,florida,84,2,0.0005,1983,2,40
FL,florida,85,3,0.0008,1984,3,36
FL,florida,86,33,0.009,1985,8,44
FL,florida,87,11,0.0028,1986,2,42
FL,florida,88,1,0.0002,1987,1,30
FL,florida,89,4,0.0009,1988,3,33
FL,florida,90,54,0.0123,1989,10,46
FL,florida,91,5,0.001,1990,2,38
FL,florida,92,1,0.0002,1991,1,27
FL,florida,93,1,0.0002,1992,1,20
FL,florida,95,1,0.0002,1994,1,41
FL,florida,96,17,0.0034,1995,5,39
FL,florida,98,5,0.0009,1997,4,33
FL,florida,99,1,0.0002,1998,1,32
FL,florida,100,5,0.0009,1999,2,32
FL,florida,102,4,0.0007,2001,3,45
FL,florida,103,1,0.0002,2002,1,18
FL,florida,105,4,0.0007,2004,4,51
FL,florida,106,3,0.0005,2005,3,33
FL,florida,108,7,0.0011,2007,5,42
FL,florida,110,1,0.0001,2009,1,19
FL,florida,111,4,0.0006,2010,3,42
FL,florida,113,176,0.0283,2012,22,97
FL,florida,114,1,0.0001,2013,3,95
GA,georgia,42,3,0.0385,1941,1,19
GA,georgia,44,4,0.023,1943,1,1
GA,georgia,47,1,0.0435,1946,1,23
GA,georgia,52,3,0.0267,1951,1,19
GA,georgia,55,11,0.0281,1954,3,40
GA,georgia,56,1,0.0032,1955,1,15
GA,georgia,58,2,0.0054,1957,1,19
GA,georgia,60,4,0.0146,1959,3,21
GA,georgia,62,7,0.0186,1961,4,13
GA,georgia,64,9,0.0225,1963,2,24
GA,georgia,65,15,0.0398,1964,3,23
GA,georgia,66,19,0.0436,1965,6,29
GA,georgia,67,4,0.0076,1966,1,12
GA,georgia,68,1,0.0022,1967,1,12
GA,georgia,69,27,0.064,1968,7,31
GA,georgia,70,37,0.0784,1969,7,27
GA,georgia,71,3,0.0053,1970,2,15
GA,georgia,72,9,0.0136,1971,2,19
GA,georgia,73,41,0.047,1972,10,44
GA,georgia,74,8,0.0049,1973,2,13
GA,georgia,75,5,0.0067,1974,4,33
GA,georgia,76,12,0.0127,1975,6,65
GA,georgia,77,15,0.0164,1976,7,66
GA,georgia,78,79,0.0826,1977,11,87
GA,georgia,79,12,0.0133,1978,4,80
GA,georgia,80,7,0.0078,1979,3,94
GA,georgia,81,110,0.1364,1980,12,73
GA,georgia,82,12,0.0153,1981,8,63
GA,georgia,83,21,0.0252,1982,7,55
GA,georgia,84,11,0.0115,1983,5,45
GA,georgia,85,4,0.0043,1984,2,35
GA,georgia,86,53,0.0596,1985,10,54
GA,georgia,87,29,0.0284,1986,6,36
GA,georgia,88,7,0.0067,1987,4,34
GA,georgia,89,3,0.003,1988,3,42
GA,georgia,90,34,0.0336,1989,11,60
GA,georgia,91,22,0.0181,1990,8,54
GA,georgia,92,3,0.0027,1991,1,50
GA,georgia,93,9,0.0076,1992,4,45
GA,georgia,94,6,0.0052,1993,4,47
GA,georgia,96,14,0.0123,1995,6,57
GA,georgia,97,2,0.0018,1996,1,29
GA,georgia,98,29,0.0274,1997,6,55
GA,georgia,99,2,0.002,1998,2,31
GA,georgia,100,6,0.0061,1999,4,28
GA,georgia,102,14,0.0108,2001,4,37
GA,georgia,103,2,0.0014,2002,1,15
GA,georgia,104,2,0.0014,2003,1,21
GA,georgia,105,37,0.0244,2004,14,41
GA,georgia,106,2,0.0012,2005,1,15
GA,georgia,107,5,0.0034,2006,2,14
GA,georgia,108,115,0.0666,2007,18,40
GA,georgia,109,19,0.0114,2008,7,41
GA,georgia,110,14,0.0083,2009,5,35
GA,georgia,111,24,0.0149,2010,8,37
GA,georgia,112,1,0.0006,2011,1,35
GA,georgia,113,246,0.1574,2012,18,85
GA,georgia,114,4,0.0021,2013,5,114
IA,iowa,20,2,0,1919,1,2
IA,iowa,22,5,0.1282,1921,2,1
IA,iowa,24,2,0,1923,1,13
IA,iowa,25,2,0,1924,1,5
IA,iowa,26,15,0,1925,2,14
IA,iowa,27,8,0,1926,2,14
IA,iowa,28,1,0,1927,1,1
IA,iowa,30,2,0.3636,1929,3,5
IA,iowa,32,3,0,1931,1,13
IA,iowa,34,0,0,1933,1,3
IA,iowa,36,7,0,1935,1,2
IA,iowa,38,5,0,1937,2,5
IA,iowa,39,2,0,1938,1,2
IA,iowa,40,2,0.029,1939,2,23
IA,iowa,42,7,0.0927,1941,2,16
IA,iowa,43,2,0.0303,1942,1,7
IA,iowa,44,23,0.1901,1943,7,12
IA,iowa,45,5,0.08,1944,2,9
IA,iowa,46,8,0.129,1945,4,13
IA,iowa,47,4,0.058,1946,3,22
IA,iowa,48,2,0.0296,1947,1,18
IA,iowa,50,8,0.0936,1949,4,33
IA,iowa,51,3,0.0148,1950,2,39
IA,iowa,52,16,0.1022,1951,3,32
IA,iowa,53,8,0.0593,1952,4,23
IA,iowa,54,15,0.0653,1953,5,25
IA,iowa,55,24,0.1067,1954,7,34
IA,iowa,56,6,0.0241,1955,3,41
IA,iowa,57,1,0.0032,1956,2,52
IA,iowa,58,78,0.22,1957,11,43
IA,iowa,59,4,0.0123,1958,3,41
IA,iowa,60,4,0.0121,1959,6,24
IA,iowa,61,1,0.0028,1960,2,26
IA,iowa,62,23,0.0659,1961,7,20
IA,iowa,63,4,0.0111,1962,2,22
IA,iowa,64,47,0.1433,1963,9,25
IA,iowa,65,1,0.003,1964,1,8
IA,iowa,66,54,0.1343,1965,12,40
IA,iowa,67,11,0.0282,1966,7,41
IA,iowa,69,38,0.1044,1968,10,26
IA,iowa,70,107,0.2321,1969,14,27
IA,iowa,71,26,0.0506,1970,7,40
IA,iowa,72,19,0.0373,1971,9,32
IA,iowa,73,61,0.1235,1972,14,31
IA,iowa,74,18,0.0333,1973,7,32
IA,iowa,75,37,0.0599,1974,10,47
IA,iowa,76,23,0.0359,1975,8,61
IA,iowa,77,38,0.0513,1976,14,52
IA,iowa,78,31,0.0398,1977,12,36
IA,iowa,79,51,0.0546,1978,15,48
IA,iowa,80,7,0.0075,1979,6,64
IA,iowa,81,76,0.0782,1980,19,42
IA,iowa,82,134,0.1458,1981,17,48
IA,iowa,83,80,0.0881,1982,15,40
IA,iowa,84,56,0.0641,1983,16,46
IA,iowa,85,29,0.0306,1984,11,59
IA,iowa,86,62,0.0659,1985,17,55
IA,iowa,87,74,0.0699,1986,17,35
IA,iowa,88,29,0.0315,1987,15,34
IA,iowa,89,21,0.0174,1988,11,33
IA,iowa,90,85,0.0741,1989,22,34
IA,iowa,91,19,0.0174,1990,12,41
IA,iowa,92,44,0.0361,1991,18,42
IA,iowa,93,40,0.0353,1992,15,40
IA,iowa,94,503,0.4155,1993,24,36
IA,iowa,95,63,0.0494,1994,16,31
IA,iowa,96,385,0.3034,1995,23,36
IA,iowa,97,40,0.0335,1996,13,33
IA,iowa,98,280,0.2365,1997,22,47
IA,iowa,99,32,0.0287,1998,10,38
IA,iowa,100,208,0.1724,1999,24,37
IA,iowa,101,16,0.0147,2000,10,38
IA,iowa,102,175,0.1529,2001,24,49
IA,iowa,103,18,0.0131,2002,10,43
IA,iowa,104,70,0.0531,2003,17,38
IA,iowa,105,189,0.1523,2004,25,41
IA,iowa,106,94,0.07,2005,21,41
IA,iowa,107,138,0.0927,2006,28,39
IA,iowa,108,358,0.2428,2007,30,41
IA,iowa,109,69,0.0538,2008,15,39
IA,iowa,110,107,0.0828,2009,23,32
IA,iowa,111,77,0.065,2010,21,35
IA,iowa,112,33,0.0214,2011,15,36
IA,iowa,113,119,0.0906,2012,23,43
IA,iowa,114,58,0.0424,2013,18,38
ID,idaho,9,9,0,1908,1,1
ID,idaho,32,1,0,1931,1,4
ID,idaho,40,47,2.5405,1939,1,1
ID,idaho,42,27,2.0455,1941,1,1
ID,idaho,43,38,0,1942,1,2
ID,idaho,44,11,0.7097,1943,2,1
ID,idaho,46,38,5,1945,1,1
ID,idaho,47,9,1.1538,1946,1,1
ID,idaho,51,3,0,1950,1,1
ID,idaho,52,0,0,1951,1,2
ID,idaho,54,15,0.2778,1953,1,3
ID,idaho,55,13,0.2097,1954,1,2
ID,idaho,56,3,0.0456,1955,1,2
ID,idaho,57,39,0.321,1956,2,3
ID,idaho,60,74,1.6087,1959,1,7
ID,idaho,67,9,0.0604,1966,3,25
ID,idaho,68,1,0.0076,1967,1,4
ID,idaho,70,2,0.0127,1969,2,5
ID,idaho,71,3,0.0152,1970,1,7
ID,idaho,72,28,0.1481,1971,2,20
ID,idaho,73,27,0.0978,1972,4,30
ID,idaho,74,20,0.0881,1973,4,14
ID,idaho,75,21,0.0695,1974,3,28
ID,idaho,76,103,0.2893,1975,5,35
ID,idaho,77,106,0.2621,1976,5,31
ID,idaho,78,43,0.1198,1977,5,37
ID,idaho,79,31,0.0839,1978,5,19
ID,idaho,80,47,0.1104,1979,5,30
ID,idaho,81,79,0.1677,1980,5,23
ID,idaho,82,58,0.1366,1981,8,30
ID,idaho,83,61,0.1183,1982,6,36
ID,idaho,84,26,0.0683,1983,7,21
ID,idaho,85,52,0.1229,1984,8,32
ID,idaho,86,82,0.1905,1985,7,24
ID,idaho,87,54,0.1218,1986,6,28
ID,idaho,88,232,0.3884,1987,9,29
ID,idaho,89,84,0.1487,1988,7,26
ID,idaho,90,268,0.4169,1989,10,25
ID,idaho,91,104,0.1967,1990,8,29
ID,idaho,92,317,0.4329,1991,7,17
ID,idaho,93,112,0.1777,1992,8,20
ID,idaho,94,256,0.3824,1993,8,29
ID,idaho,95,173,0.245,1994,10,29
ID,idaho,96,170,0.2207,1995,7,35
ID,idaho,97,133,0.1739,1996,12,28
ID,idaho,98,246,0.2463,1997,12,29
ID,idaho,99,126,0.1435,1998,13,30
ID,idaho,100,189,0.2062,1999,11,23
ID,idaho,101,287,0.2967,2000,16,32
ID,idaho,102,244,0.27,2001,13,24
ID,idaho,103,176,0.1712,2002,12,35
ID,idaho,104,180,0.1899,2003,9,28
ID,idaho,105,424,0.3896,2004,18,32
ID,idaho,106,244,0.2603,2005,13,31
ID,idaho,107,288,0.3012,2006,14,26
ID,idaho,108,406,0.3475,2007,18,50
ID,idaho,109,174,0.172,2008,18,39
ID,idaho,110,294,0.2675,2009,15,30
ID,idaho,111,231,0.2014,2010,13,27
ID,idaho,112,556,0.4696,2011,16,51
ID,idaho,113,465,0.3639,2012,21,43
ID,idaho,114,256,0.1835,2013,16,42
IL,illinois,7,3,0,1906,1,1
IL,illinois,9,4,0,1908,4,2
IL,illinois,11,9,0,1910,1,2
IL,illinois,12,5,0,1911,1,3
IL,illinois,13,4,0,1912,2,2
IL,illinois,14,5,0,1913,1,3
IL,illinois,15,2,0,1914,1,1
IL,illinois,16,7,0,1915,2,2
IL,illinois,17,10,0,1916,1,2
IL,illinois,18,12,0,1917,1,3
IL,illinois,20,4,0,1919,1,2
IL,illinois,22,10,0.5882,1921,1,5
IL,illinois,23,1,0,1922,1,2
IL,illinois,24,6,0,1923,2,2
IL,illinois,26,2,0,1925,1,2
IL,illinois,27,1,0,1926,1,2
IL,illinois,30,1,0.0556,1929,1,9
IL,illinois,31,1,0,1930,1,2
IL,illinois,34,1,0,1933,1,1
IL,illinois,35,1,0,1934,1,25
IL,illinois,36,22,0,1935,3,19
IL,illinois,37,2,0,1936,1,30
IL,illinois,41,4,0.0635,1940,2,5
IL,illinois,42,3,0.04,1941,1,8
IL,illinois,43,9,0.3051,1942,2,6
IL,illinois,46,1,0.0132,1945,1,4
IL,illinois,48,2,0.0326,1947,1,36
IL,illinois,49,1,0.0172,1948,1,3
IL,illinois,50,1,0.0038,1949,1,18
IL,illinois,52,9,0.0245,1951,5,30
IL,illinois,53,11,0.0187,1952,4,29
IL,illinois,54,6,0.0151,1953,2,20
IL,illinois,55,31,0.0678,1954,9,31
IL,illinois,56,8,0.0135,1955,5,26
IL,illinois,57,5,0.0063,1956,4,27
IL,illinois,58,92,0.1905,1957,10,28
IL,illinois,59,32,0.0674,1958,7,20
IL,illinois,60,36,0.0832,1959,8,27
IL,illinois,61,10,0.0193,1960,7,32
IL,illinois,62,45,0.0829,1961,8,29
IL,illinois,63,31,0.0484,1962,5,36
IL,illinois,64,106,0.1415,1963,12,39
IL,illinois,65,26,0.0396,1964,9,41
IL,illinois,66,87,0.114,1965,16,39
IL,illinois,67,74,0.0786,1966,16,45
IL,illinois,68,29,0.0262,1967,5,41
IL,illinois,69,80,0.0805,1968,16,52
IL,illinois,70,154,0.1142,1969,23,76
IL,illinois,71,48,0.0317,1970,20,62
IL,illinois,72,50,0.0273,1971,17,41
IL,illinois,73,161,0.0888,1972,27,41
IL,illinois,74,52,0.0247,1973,16,51
IL,illinois,75,96,0.0433,1974,26,64
IL,illinois,76,459,0.2004,1975,29,63
IL,illinois,77,161,0.0618,1976,27,72
IL,illinois,78,180,0.0696,1977,31,53
IL,illinois,79,164,0.0824,1978,26,57
IL,illinois,80,37,0.0175,1979,17,56
IL,illinois,81,239,0.1067,1980,34,48
IL,illinois,82,267,0.1227,1981,34,62
IL,illinois,83,111,0.0454,1982,27,64
IL,illinois,84,196,0.0871,1983,31,64
IL,illinois,85,57,0.0227,1984,19,66
IL,illinois,86,185,0.0267,1985,29,76
IL,illinois,87,259,0.1004,1986,32,69
IL,illinois,88,191,0.0787,1987,22,62
IL,illinois,89,97,0.039,1988,23,70
IL,illinois,90,158,0.0663,1989,32,67
IL,illinois,91,115,0.0491,1990,26,55
IL,illinois,92,99,0.0393,1991,29,65
IL,illinois,93,94,0.0371,1992,24,65
IL,illinois,94,653,0.2416,1993,37,87
IL,illinois,95,91,0.0319,1994,28,60
IL,illinois,96,476,0.1712,1995,39,88
IL,illinois,97,68,0.023,1996,24,51
IL,illinois,98,608,0.1906,1997,49,95
IL,illinois,99,59,0.0205,1998,22,88
IL,illinois,100,577,0.1775,1999,45,103
IL,illinois,101,106,0.0386,2000,25,71
IL,illinois,102,417,0.1299,2001,46,102
IL,illinois,103,38,0.011,2002,20,96
IL,illinois,104,315,0.0968,2003,32,96
IL,illinois,105,365,0.1124,2004,43,110
IL,illinois,106,433,0.1279,2005,48,101
IL,illinois,107,211,0.0617,2006,37,102
IL,illinois,108,660,0.1924,2007,50,95
IL,illinois,109,271,0.0851,2008,44,96
IL,illinois,110,316,0.0995,2009,47,108
IL,illinois,111,255,0.0854,2010,47,106
IL,illinois,112,81,0.0251,2011,33,138
IL,illinois,113,435,0.1337,2012,53,116
IL,illinois,114,173,0.0559,2013,38,110
IN,indiana,3,1,0,1902,1,1
IN,indiana,13,3,0,1912,1,1
IN,indiana,22,10,0.4587,1921,1,2
IN,indiana,24,5,0,1923,2,3
IN,indiana,25,4,0,1924,2,2
IN,indiana,26,4,0,1925,2,3
IN,indiana,29,2,0,1928,1,9
IN,indiana,30,1,0.0513,1929,1,5
IN,indiana,31,3,1.2,1930,1,1
IN,indiana,32,3,0,1931,1,3
IN,indiana,46,2,0.0471,1945,1,9
IN,indiana,47,1,0.0068,1946,2,12
IN,indiana,48,1,0.0079,1947,1,22
IN,indiana,50,5,0.0423,1949,1,14
IN,indiana,52,10,0.0568,1951,7,13
IN,indiana,53,2,0.009,1952,1,20
IN,indiana,54,5,0.0169,1953,2,19
IN,indiana,55,21,0.0592,1954,8,24
IN,indiana,56,3,0.0076,1955,2,16
IN,indiana,58,55,0.2033,1957,8,31
IN,indiana,59,3,0.0108,1958,3,13
IN,indiana,60,12,0.035,1959,5,17
IN,indiana,61,3,0.008,1960,3,15
IN,indiana,62,27,0.0701,1961,8,17
IN,indiana,63,3,0.0084,1962,2,12
IN,indiana,64,48,0.129,1963,11,24
IN,indiana,65,3,0.0067,1964,3,25
IN,indiana,66,115,0.2396,1965,14,31
IN,indiana,67,16,0.0327,1966,6,23
IN,indiana,68,5,0.0115,1967,3,24
IN,indiana,69,27,0.0647,1968,10,25
IN,indiana,70,118,0.2384,1969,14,29
IN,indiana,71,17,0.0289,1970,7,31
IN,indiana,72,35,0.0514,1971,12,34
IN,indiana,73,95,0.1303,1972,17,46
IN,indiana,74,25,0.0336,1973,8,39
IN,indiana,75,32,0.0292,1974,12,79
IN,indiana,76,181,0.1319,1975,22,105
IN,indiana,77,220,0.14,1976,23,109
IN,indiana,78,126,0.0762,1977,23,90
IN,indiana,79,132,0.0888,1978,24,86
IN,indiana,80,33,0.0205,1979,16,79
IN,indiana,81,235,0.1587,1980,25,73
IN,indiana,82,232,0.1675,1981,23,48
IN,indiana,83,79,0.0407,1982,20,83
IN,indiana,84,146,0.0948,1983,26,81
IN,indiana,85,45,0.0284,1984,13,64
IN,indiana,86,162,0.0955,1985,23,51
IN,indiana,87,92,0.0569,1986,22,56
IN,indiana,88,106,0.0641,1987,22,59
IN,indiana,89,45,0.0275,1988,17,303
IN,indiana,90,149,0.1031,1989,27,53
IN,indiana,91,103,0.0736,1990,20,64
IN,indiana,92,40,0.025,1991,19,61
IN,indiana,93,47,0.0294,1992,18,61
IN,indiana,94,161,0.1035,1993,29,60
IN,indiana,95,37,0.0211,1994,14,72
IN,indiana,96,203,0.1222,1995,27,59
IN,indiana,97,11,0.0064,1996,11,52
IN,indiana,98,505,0.2704,1997,36,51
IN,indiana,99,15,0.0102,1998,9,63
IN,indiana,100,267,0.1442,1999,34,52
IN,indiana,101,53,0.0388,2000,16,49
IN,indiana,102,167,0.089,2001,30,52
IN,indiana,103,14,0.0077,2002,8,53
IN,indiana,104,110,0.0602,2003,23,45
IN,indiana,105,54,0.0311,2004,21,61
IN,indiana,106,291,0.1663,2005,33,50
IN,indiana,107,34,0.0205,2006,15,62
IN,indiana,108,446,0.287,2007,36,49
IN,indiana,109,81,0.0487,2008,24,58
IN,indiana,110,167,0.0931,2009,29,67
IN,indiana,111,264,0.147,2010,28,55
IN,indiana,112,53,0.028,2011,15,60
IN,indiana,113,201,0.1068,2012,34,53
IN,indiana,114,83,0.0474,2013,25,51
KS,kansas,20,1,0,1919,1,2
KS,kansas,22,3,0.2308,1921,1,3
KS,kansas,24,1,0,1923,1,2
KS,kansas,30,3,0,1929,1,1
KS,kansas,39,2,0.0806,1938,1,1
KS,kansas,46,7,0.2692,1945,2,8
KS,kansas,48,2,0.0303,1947,2,8
KS,kansas,49,1,0.0066,1948,1,19
KS,kansas,50,9,0.0577,1949,3,10
KS,kansas,51,6,0.0247,1950,4,22
KS,kansas,52,7,0.0288,1951,4,30
KS,kansas,53,2,0.0068,1952,2,10
KS,kansas,54,2,0.0085,1953,2,32
KS,kansas,55,13,0.0241,1954,6,28
KS,kansas,56,3,0.0122,1955,2,21
KS,kansas,58,25,0.0817,1957,9,22
KS,kansas,59,3,0.0106,1958,2,16
KS,kansas,60,7,0.0313,1959,2,11
KS,kansas,61,11,0.0382,1960,5,19
KS,kansas,62,61,0.2023,1961,6,19
KS,kansas,63,1,0.0041,1962,1,16
KS,kansas,64,49,0.1408,1963,8,18
KS,kansas,66,30,0.0893,1965,6,22
KS,kansas,67,22,0.0797,1966,5,22
KS,kansas,68,1,0.0031,1967,1,20
KS,kansas,69,19,0.0594,1968,5,20
KS,kansas,70,44,0.1073,1969,10,22
KS,kansas,71,10,0.0205,1970,5,21
KS,kansas,72,16,0.0239,1971,6,35
KS,kansas,73,57,0.0786,1972,10,44
KS,kansas,74,27,0.0353,1973,8,30
KS,kansas,75,23,0.0253,1974,8,39
KS,kansas,76,74,0.0771,1975,11,64
KS,kansas,77,77,0.0673,1976,15,72
KS,kansas,78,58,0.0531,1977,13,82
KS,kansas,79,58,0.0546,1978,16,67
KS,kansas,80,29,0.0254,1979,10,78
KS,kansas,81,138,0.1126,1980,18,92
KS,kansas,82,128,0.1155,1981,15,90
KS,kansas,83,29,0.0194,1982,15,100
KS,kansas,84,121,0.0935,1983,17,89
KS,kansas,85,24,0.0206,1984,9,79
KS,kansas,86,75,0.0619,1985,17,100
KS,kansas,87,39,0.0331,1986,11,88
KS,kansas,88,40,0.05,1987,11,42
KS,kansas,89,22,0.0246,1988,9,38
KS,kansas,90,76,0.0948,1989,12,40
KS,kansas,91,10,0.0127,1990,5,33
KS,kansas,92,14,0.0137,1991,8,43
KS,kansas,93,22,0.0258,1992,7,33
KS,kansas,94,217,0.2002,1993,24,39
KS,kansas,95,15,0.0143,1994,8,36
KS,kansas,96,123,0.1216,1995,18,48
KS,kansas,97,79,0.0746,1996,21,38
KS,kansas,98,113,0.1182,1997,18,41
KS,kansas,99,22,0.0212,1998,11,39
KS,kansas,100,253,0.2606,1999,20,37
KS,kansas,101,67,0.0808,2000,16,24
KS,kansas,102,141,0.1487,2001,19,33
KS,kansas,103,25,0.0244,2002,14,32
KS,kansas,104,16,0.0176,2003,10,30
KS,kansas,105,325,0.3427,2004,24,32
KS,kansas,106,51,0.0593,2005,15,33
KS,kansas,107,16,0.0197,2006,8,30
KS,kansas,108,209,0.2686,2007,20,31
KS,kansas,109,14,0.0174,2008,7,30
KS,kansas,110,12,0.015,2009,9,26
KS,kansas,111,115,0.1425,2010,17,31
KS,kansas,112,11,0.0108,2011,6,44
KS,kansas,113,318,0.3058,2012,21,59
KS,kansas,114,11,0.0104,2013,10,52
KY,kentucky,10,1,0,1909,1,1
KY,kentucky,38,4,0,1937,2,7
KY,kentucky,46,1,0.0203,1945,1,17
KY,kentucky,49,2,0.0252,1948,1,24
KY,kentucky,50,10,0.1015,1949,2,31
KY,kentucky,52,11,0.0679,1951,4,32
KY,kentucky,53,11,0.0525,1952,3,35
KY,kentucky,54,7,0.0223,1953,2,21
KY,kentucky,55,7,0.0297,1954,5,32
KY,kentucky,56,4,0.02,1955,2,25
KY,kentucky,57,2,0.0105,1956,2,27
KY,kentucky,58,5,0.0238,1957,3,31
KY,kentucky,59,5,0.0292,1958,2,24
KY,kentucky,60,4,0.0215,1959,3,23
KY,kentucky,61,2,0.0123,1960,1,6
KY,kentucky,62,52,0.174,1961,6,21
KY,kentucky,63,1,0.0042,1962,1,30
KY,kentucky,64,11,0.0428,1963,3,28
KY,kentucky,65,6,0.0274,1964,3,16
KY,kentucky,66,19,0.0596,1965,5,26
KY,kentucky,67,2,0.0067,1966,2,23
KY,kentucky,68,1,0.0047,1967,1,7
KY,kentucky,69,16,0.0486,1968,6,19
KY,kentucky,70,47,0.1391,1969,6,21
KY,kentucky,71,2,0.0052,1970,2,20
KY,kentucky,72,12,0.0317,1971,4,29
KY,kentucky,73,38,0.0898,1972,7,35
KY,kentucky,74,17,0.0634,1973,4,21
KY,kentucky,75,13,0.0267,1974,2,28
KY,kentucky,76,128,0.2241,1975,11,36
KY,kentucky,77,93,0.1447,1976,8,37
KY,kentucky,78,80,0.1236,1977,12,38
KY,kentucky,79,38,0.0634,1978,7,39
KY,kentucky,80,9,0.0146,1979,5,16
KY,kentucky,81,36,0.0582,1980,7,33
KY,kentucky,82,86,0.1572,1981,12,28
KY,kentucky,83,52,0.0894,1982,4,33
KY,kentucky,84,146,0.2723,1983,9,33
KY,kentucky,85,7,0.0117,1984,3,39
KY,kentucky,86,89,0.1521,1985,10,39
KY,kentucky,87,167,0.318,1986,8,33
KY,kentucky,88,18,0.0326,1987,6,37
KY,kentucky,89,9,0.015,1988,5,40
KY,kentucky,90,22,0.0448,1989,5,35
KY,kentucky,91,9,0.0155,1990,2,28
KY,kentucky,92,5,0.0085,1991,4,25
KY,kentucky,93,7,0.0138,1992,2,38
KY,kentucky,94,19,0.0375,1993,7,26
KY,kentucky,95,12,0.0249,1994,3,32
KY,kentucky,96,38,0.0757,1995,7,35
KY,kentucky,97,6,0.0127,1996,3,35
KY,kentucky,98,58,0.0967,1997,9,32
KY,kentucky,99,3,0.0065,1998,1,22
KY,kentucky,100,44,0.0985,1999,8,31
KY,kentucky,101,2,0.006,2000,2,20
KY,kentucky,102,17,0.0452,2001,6,31
KY,kentucky,103,2,0.0053,2002,1,23
KY,kentucky,104,4,0.0082,2003,3,28
KY,kentucky,105,9,0.0195,2004,5,26
KY,kentucky,106,15,0.03,2005,4,45
KY,kentucky,107,4,0.0072,2006,3,32
KY,kentucky,108,36,0.0648,2007,10,32
KY,kentucky,109,8,0.0128,2008,5,40
KY,kentucky,110,16,0.0258,2009,9,32
KY,kentucky,111,13,0.0202,2010,8,28
KY,kentucky,112,5,0.0068,2011,3,25
KY,kentucky,113,64,0.0861,2012,12,51
KY,kentucky,114,11,0.0169,2013,10,39
LA,louisiana,46,4,0.0656,1945,1,10
LA,louisiana,55,6,0.0229,1954,3,23
LA,louisiana,58,6,0.025,1957,2,13
LA,louisiana,59,2,0.0071,1958,1,9
LA,louisiana,60,4,0.016,1959,2,11
LA,louisiana,61,3,0.0127,1960,2,14
LA,louisiana,62,9,0.0588,1961,2,10
LA,louisiana,63,4,0.0192,1962,2,12
LA,louisiana,64,3,0.0476,1963,1,9
LA,louisiana,66,1,0.0069,1965,1,13
LA,louisiana,67,2,0.0102,1966,1,7
LA,louisiana,68,1,0.0083,1967,1,7
LA,louisiana,69,1,0.0064,1968,1,12
LA,louisiana,70,6,0.0186,1969,4,18
LA,louisiana,71,1,0.0036,1970,1,9
LA,louisiana,72,1,0.0031,1971,1,10
LA,louisiana,73,4,0.0101,1972,3,19
LA,louisiana,74,1,0.0021,1973,1,8
LA,louisiana,75,6,0.0121,1974,4,29
LA,louisiana,76,1,0.0021,1975,2,21
LA,louisiana,77,2,0.003,1976,2,21
LA,louisiana,78,59,0.0908,1977,8,31
LA,louisiana,79,17,0.0269,1978,5,35
LA,louisiana,80,2,0.0028,1979,2,19
LA,louisiana,81,117,0.1678,1980,11,32
LA,louisiana,82,6,0.0064,1981,3,35
LA,louisiana,83,25,0.0244,1982,6,94
LA,louisiana,84,12,0.0094,1983,3,71
LA,louisiana,85,5,0.0032,1984,1,33
LA,louisiana,86,63,0.0428,1985,12,81
LA,louisiana,87,2,0.0012,1986,2,27
LA,louisiana,88,2,0.0014,1987,1,19
LA,louisiana,90,59,0.0415,1989,14,38
LA,louisiana,92,3,0.002,1991,3,16
LA,louisiana,93,2,0.0013,1992,2,31
LA,louisiana,94,5,0.0033,1993,4,37
LA,louisiana,95,3,0.0018,1994,3,36
LA,louisiana,96,133,0.0858,1995,15,47
LA,louisiana,98,50,0.0255,1997,14,58
LA,louisiana,99,1,0.0005,1998,1,17
LA,louisiana,100,34,0.0163,1999,8,40
LA,louisiana,101,1,0.0005,2000,1,11
LA,louisiana,102,14,0.0076,2001,6,59
LA,louisiana,103,7,0.0038,2002,3,48
LA,louisiana,105,18,0.0115,2004,8,38
LA,louisiana,106,4,0.0028,2005,2,44
LA,louisiana,107,2,0.0016,2006,2,43
LA,louisiana,108,55,0.0435,2007,11,39
LA,louisiana,109,1,0.0007,2008,2,39
LA,louisiana,110,2,0.0016,2009,2,31
